fat_g,fiber_g,calories,food_id,potassium_mg,sodium_mg,source,name,carbs_g,cholesterol_mg,sugar_g,protein_g,category,cuisine,sat_fat_g,low_gi,low_sodium,diabetic_friendly,heart_healthy,vegetarian,vegan,meal_type
21.43,0.0,286.0,1223,0.0,571.0,USDA,"HAND-BRAIDED FRESH MOZZARELLA CHEESE, ZESTY MARINATED, ZESTY MARINATED",3.57,54.0,0.0,21.43,Other,American,14.29,0,0,0,0,1,0,lunch
32.14,0.0,293.0,1224,0.0,786.0,USDA,"FIRM & SWEET VLASKAAS PREMIUM DUTCH CHEESE, FIRM & SWEET",0.0,79.0,0.0,25.0,Other,American,25.0,0,0,0,0,1,0,lunch
32.14,0.0,393.0,1225,0.0,643.0,USDA,CHIPOTLE WISCONSIN CHEESE,0.0,107.0,0.0,25.0,Other,American,19.64,0,0,0,0,1,0,snack
50.0,6.2,594.0,1226,0.0,203.0,USDA,"MAPLE ALMOND BUTTER, MAPLE",25.0,0.0,9.38,18.75,Other,American,6.25,0,0,0,0,1,0,lunch
17.86,3.6,286.0,1227,0.0,1357.0,USDA,"BLUE CRUMBLED REDUCED FAT CHEESE, BLUE",3.57,54.0,3.57,21.43,Other,American,12.5,1,0,1,0,1,0,lunch
33.33,0.0,400.0,1228,0.0,1267.0,USDA,"PEPPERONI FLAVORED SAUSAGE SNACK BITES, PEPPERONI",3.33,83.0,0.0,16.67,Other,American,11.67,0,0,0,0,0,0,snack
21.43,0.0,464.0,1229,250.0,821.0,USDA,"CHEDDAR CHEESE BITE SIZE SANDWICH CRACKER, CHEDDAR CHEESE",64.29,0.0,10.71,3.57,Other,American,10.71,0,0,0,0,1,0,snack
8.93,7.1,429.0,1230,0.0,536.0,USDA,"HUMMUZ CRACKERS, ROASTED RED PEPPER, ROASTED RED PEPPER",67.86,0.0,3.57,17.86,Other,American,3.57,1,0,0,0,1,1,dinner
0.0,0.0,143.0,1231,0.0,750.0,USDA,"HOT 'N SWEET PICKLES, HOT 'N SWEET",35.71,0.0,28.57,0.0,Other,American,0.0,0,0,0,0,1,1,lunch
10.71,10.7,393.0,1232,0.0,0.0,USDA,"DOUBLE CHOCOLATE HOT COCOA MIX, DOUBLE CHOCOLATE",78.57,0.0,60.71,7.14,Other,American,5.36,0,1,0,0,1,1,lunch
1.79,3.6,357.0,1233,248.0,0.0,USDA,"SLOW DRIED ENRICHED MACARONI PRODUCT, FUSILLI NO. 34",71.43,0.0,3.57,14.29,Other,American,0.0,1,1,0,1,1,1,lunch
6.92,3.1,385.0,1234,0.0,646.0,USDA,"TRICOLOR FOUR CHEESE TORTELLINI, TRICOLOR FOUR CHEESE",69.23,69.0,4.62,12.31,Other,American,1.54,1,0,0,0,1,0,lunch
26.67,0.0,300.0,1235,0.0,517.0,USDA,"ALFREDO SAUCE, ALFREDO",3.33,83.0,1.67,6.67,Other,American,18.33,0,0,0,0,1,1,lunch
2.68,0.0,107.0,1236,0.0,804.0,USDA,"OVEN ROASTED TURKEY BREAST, OVEN ROASTED",1.79,45.0,1.79,19.64,Other,American,0.89,0,0,0,0,0,0,dinner
2.68,0.0,125.0,1237,0.0,732.0,USDA,"HONEY SMOKED TURKEY BREAST, HONEY SMOKED",5.36,45.0,5.36,19.64,Other,American,0.89,0,0,0,0,0,0,lunch
